index,RNASEQ.SET.1.KO3P1.RPKM,RNASEQ.SET.1.KO3P2.RPKM,RNASEQ.SET.1.KOSS1.RPKM,RNASEQ.SET.1.KOSS2.RPKM,RNASEQ.SET.1.WT3P1.RPKM,RNASEQ.SET.1.WT3P2.RPKM,RNASEQ.SET.1.WTSS1.RPKM,RNASEQ.SET.1.WTSS2.RPKM,RNASEQ.SET.2.KO3P1.RPKM,RNASEQ.SET.2.KO3P2.RPKM,RNASEQ.SET.2.KOSS1.RPKM,RNASEQ.SET.2.KOSS2.RPKM,RNASEQ.SET.2.WT3P1.RPKM,RNASEQ.SET.2.WT3P2.RPKM,RNASEQ.SET.2.WTSS1.RPKM,RNASEQ.SET.2.WTSS2.RPKM,genename,V1,V2,V3
ENSG00000223529.1,103.2860643,109.4245001,66.43484483,105.1367214,52.74244164,110.7936042,126.5958054,116.9752938,181.6813187,149.4117069,180.452352,168.9564938,157.1169048,131.2205153,162.1083365,169.7154125,EEF1A1P8,-2.50949019,0.154265365,-0.646793138
ENSG00000228439.3,2.226209383,1.686528455,1.568438201,1.618444919,2.384409669,2.010747393,1.652698663,1.949632561,2.157008189,1.637175873,1.480929209,2.715157552,2.4673092,1.821686873,2.349960533,1.437038946,TSTD3,0.875259396,0.154330599,0.166503075
ENSG00000102804.10,3.917872484,3.990037054,3.19315134,4.040942402,2.436472429,4.480942273,4.44610025,3.990884925,6.559421412,8.160370281,6.722147289,7.611823931,7.55095758,8.309102712,6.801120818,7.499465451,TSC22D1,-0.009068833,0.154384335,0.393882686
ENSG00000185024.11,1.390822478,1.387260346,1.357914569,1.333760341,1.843004226,1.908941233,1.637574281,1.728787223,1.764506572,1.404962388,1.549611641,1.47924049,1.493933448,1.281129844,1.273304914,1.547911892,BRF1,1.041990365,0.154445731,-0.322202073
ENSG00000197587.6,3.524319043,3.46710389,2.835361414,3.041922875,2.737742673,3.782044149,3.505010717,3.258220573,2.151909014,2.338073806,1.932250275,1.953806555,1.690098282,1.845304297,2.217829349,1.935921208,DMBX1,0.879482136,0.154556284,-0.445696646
ENSG00000131725.9,1.732959016,2.389512819,1.031529542,1.705065515,0.800477687,2.73689668,3.025718886,2.543217461,8.480746837,8.131899527,8.735941689,7.955032158,7.635965755,8.026780687,9.269723738,7.213879079,WDR44,-0.07218684,0.154639241,-0.258918218
ENSG00000161542.12,8.751728822,9.002344758,8.374099591,8.825159511,8.226721432,9.349225548,8.922136935,9.509268807,5.76809054,7.057515163,5.580474683,6.611202976,4.702430346,6.90600923,5.673116519,6.942970103,PRPSAP1,0.142212176,0.154926532,-0.190115431
ENSG00000224594.2,3.456190066,2.169618809,2.39457246,2.302024944,2.245886822,1.877361179,1.288544721,0.810964182,1.717310366,1.026955775,1.946364103,0.378476507,1.182252325,1.142694493,0.900818204,1.032871742,RPL29P19,1.169674091,0.154952862,-0.214760423
ENSG00000184517.7,1.330783101,1.334848825,1.293214822,1.269996507,0.919891067,1.545708363,1.390812894,1.096895107,3.59402837,4.731114169,3.273265874,4.582775896,4.222284826,5.334194712,5.178327459,3.234006285,ZFP1,0.390853824,0.154982423,0.620249667
ENSG00000115825.5,1.461926029,1.935220497,1.449515533,1.576956032,1.123422678,2.021183556,2.489479973,1.923611436,6.948889377,8.177685058,7.472715752,7.970765491,7.358031944,8.021765908,9.708154016,6.168595587,PRKD3,-0.03084776,0.155218841,0.021781708
ENSG00000071626.12,24.69344885,25.21840797,25.58804718,25.21554694,24.04649574,25.56101579,25.39977074,26.44040405,21.37541859,18.52847373,20.71265596,19.60305844,17.25588564,17.50808764,18.18929942,20.63025401,DAZAP1,-0.73770725,0.155451029,-0.537734644
ENSG00000079819.12,4.830796873,5.467500224,3.822361847,5.312148323,3.828835355,7.173820387,6.932639699,6.520803967,13.13992048,14.09161982,13.39015687,13.87254722,11.59108008,13.44834067,14.90169745,12.630327,EPB41L2,-0.452604781,0.155609256,-0.294450783
ENSG00000175215.5,15.05803745,15.84126419,12.7779791,14.64355495,10.76347253,15.24963653,14.96802624,14.89932141,18.30633635,22.39601458,19.57809096,21.05058237,18.50761486,22.52142637,19.03603335,21.66942899,CTDSP2,-0.797284365,0.155625705,0.129949682
ENSG00000229132.2,217.8421552,218.3925057,220.7782919,223.3405653,258.0398881,256.1173119,269.1050413,268.648362,158.512266,129.3660243,150.0188944,145.6792181,156.7106569,110.3007159,146.7015041,136.5972879,EIF4A1P10,-2.397730406,0.155768748,-0.401845673
ENSG00000261424.1,2.763380037,3.72070594,2.070494984,3.053469816,2.0864481,3.713752988,4.776940461,4.533114028,5.197123475,5.387013626,5.595796796,6.299641865,7.012623002,5.994134269,5.724936745,5.001273699,ATP5F1P7,0.172746021,0.155845828,0.47063529
